source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
Get Britain Out,,2019-05-06 16:51:51,CONGRATULATIONS TO THE DUCHESS OF SUSSEX AND PRINCE HARRY ON THE BIRTH OF THEIR FIRST BABY- A BABY BOY AT 5.26 THIS MORNING. Please stop the NEGATIVE comments on this happy occasion.,91,82,,8,1,,,12,1811813242297838,https://mbasic.facebook.com/story.php?story_fbid=1811813242297838&id=136556343156878
Get Britain Out,,2019-05-06 16:47:29,CONGRATULATIONS TO THE DUCHESS OF SUSSEX AND PRINCE HARRY ON THE BIRTH OF THEIR FIRST BABY- A BABY BOY AT 5.26 THIS MORNING. Please stop the NEGATIVE comments on this happy occasion.,3500,3000,91,356,9,2,10,839,1811809338964895,https://mbasic.facebook.com/story.php?story_fbid=1811809338964895&id=136556343156878
Get Britain Out,,2019-05-06 16:38:58,"Theresa May is now trying to blackmail Brexit-supporting MPs, by feeding out this scare story - about already 'wargaming' another Referendum, in the hope MPs will support her Rubbish non-Brexit Deal. This is a last desperate attempt to force her Withdrawal Agreement through. It's more than disgraceful. Aside from her potential illness escalation, this is almost as if Theresa May has lost her mind! Jayne Adye, Director, Get Britain Out",1300,257,39,1,5,2,1000,576,1811800962299066,https://mbasic.facebook.com/story.php?story_fbid=1811800962299066&id=136556343156878
Get Britain Out,,2019-05-06 16:26:43,"Theresa May is now trying to blackmail Brexit-supporting MPs, by feeding out this scare story - about already 'wargaming' another Referendum, in the hope MPs will support her Rubbish non-Brexit Deal. This is a last desperate attempt to force her Withdrawal Agreement through. It's more than disgraceful. Aside from her potential illness escalation, this is almost as if Theresa May has lost her mind! Jayne Adye, Director, Get Britain Out",507,182,17,1,2,2,303,332,1811789188966910,https://mbasic.facebook.com/story.php?story_fbid=1811789188966910&id=136556343156878
Get Britain Out,June Slater,2019-05-06 14:35:44,"Mid April blog Re Robin Tilbrook Court Case - we left the EU on March 29thYou need to read this ,  it's a great analogy",1100,1000,3,45,36,2,25,97,1811715925640903,https://mbasic.facebook.com/story.php?story_fbid=1811715925640903&id=136556343156878
Get Britain Out,Sue Shaw,2019-05-06 14:09:08,"Perfect description of the Brexit situation in today's Telegraph:-                                SIR – In observing that the arithmetic in the House of Commons is opposed to leaving without a deal” (report May 4) Michael Gove states: “We have to face facts.”  Well here are some facts Mr Gove would do well to face: that in a referendum, held by the Government precisely so that a definitive answer would be obtained, the electorate voted to leave; that the voting options, “Leave” or “Remain” were unequivocal; that the Government pledged that it would “implement what you decide”; that had the result been a majority vote to remain, the matter would have been considered to have been answered unequivocally; that both major parties in the 2017 election promised to honour the referendum result; that constant references to “hardline Brexiteers” is a political (that is dishonest) way of describing those honourable MPs who simply wish to respect the people’s decision; that, deal or no deal, the Government is both duty – and honour-bound – to see that Britain leaves the EU. It is Parliament’s wilful refusal to face these facts that has led directly to where we are today – not least to the coming destruction of the Conservative Party. It is both contemptible and beyond parody that Mr Gove should now exhort us all to “face facts” when these facts are the ones he and his like have wilfully brought into being by deliberately not facing those engendered by the referendum, and which the British people were given every assurance would be acted upon. Philip J Ashe Leeds, West Yorkshire",1800,1600,3,103,7,4,48,241,1811698108976018,https://mbasic.facebook.com/story.php?story_fbid=1811698108976018&id=136556343156878
Get Britain Out,June Slater,2019-05-06 14:04:37,"URGENT  URGENT  email ALL Mps even ERG  and Labour Leave even MOGG  ALL MPs  and threaten them with a recall petition, or threaten them with treason,  or threaten them with deselection if any of them back  May's deal or anything which ties us to a customs union . Here is John Redwood's explosive insight into the disastrous and treacherous withdrawal agreement. You must take action NOW and get your emails sent off certainly to your own MP and as many you have the energy for..no more posts till I see some action on this most important directive.",1700,1400,10,47,24,3,192,213,1811695475642948,https://mbasic.facebook.com/story.php?story_fbid=1811695475642948&id=136556343156878
Get Britain Out,June Slater,2019-05-06 13:58:06,"If you haven’t already done so, are eligible, and want to vote in the EU Elections, make sure you register to vote. Tomorrow, Tuesday is the last day! If you are already registered, that’s OK.https://www.gov.uk/register-to-vote LAST DAY TOMORROW TO REGISTER TO VOTE IN THE EU ELECTIONS if you are on the electoral roll  you cal already vote if not, register on line here...",360,343,6,9,1,,1,82,1811691895643306,https://mbasic.facebook.com/story.php?story_fbid=1811691895643306&id=136556343156878
Get Britain Out,June Slater,2019-05-05 18:52:59,"MY BREXIT FIGHT CONTINUES  BREXIT PARTY RALLY FYLDE COAST (BLACKPOOL) A great set of candidates from all walks of life including a Danish dentist who lives in the UK,  Claire Fox outspoken advocate for free speech and democracy and  Ann Wiiddecombe ex Tory MP just google Brexit party candidates for your area,  I met Nigel and he blew my socks off when he said he knew me :-) . he said emailing and lobbying as we do is so very valuable and he thanked me and said there's great work being done on social media from passionate and committed people. I was humbled when many people thanked me for the time I put into Brexit. I got interviewed by the SKY correspondent  Lewis Goodall, lol l bet they don't broadcast my interview I had far too much to say for myself and was interviewed by Nigel's own press secretary could be for his page I'm not sure, and had ten minutes with Nigel who was filled with enthusiasm  for this diverse political movement.",1700,1500,4,104,2,,1,90,1810975339048295,https://mbasic.facebook.com/story.php?story_fbid=1810975339048295&id=136556343156878
Get Britain Out,,2019-05-05 18:48:21,Any Public Vote makes a mockery of the Referendum and the millions of Britons who voted. The people spoke and their democratic wish must be observed and fulfilled!!   https://www.express.co.uk/news/uk/1123077/Brexit-News-latest-Andrew-Marr-John-McDonnell-Jeremy-Corbyn-eu-withdrawal-agreement,805,613,83,10,4,1,94,163,1810970795715416,https://mbasic.facebook.com/story.php?story_fbid=1810970795715416&id=136556343156878
Get Britain Out,,2019-05-05 17:07:00,Brexit is at the core. The two main Parties have not delivered or advocated the Brexit we voted for. The Conservatives refuse to ensure we leave with No Deal and Labour refuse to sincerely advocate Brexit. It is a disgrace!!!  https://reaction.life/britains-two-main-parties-melted/,729,497,31,4,3,1,193,176,1810611582418004,https://mbasic.facebook.com/story.php?story_fbid=1810611582418004&id=136556343156878
Get Britain Out,,2019-05-05 16:00:01,Delivering the No Deal Brexit must be top priority!! Deliver on the national interest and ensure we leave the EU on WTO Terms!! https://www.telegraph.co.uk/opinion/2019/05/05/way-save-conservative-party-new-leader-brexit-tax-cuts-war-crime/,3700,3500,17,190,2,1,10,214,1810606435751852,https://mbasic.facebook.com/story.php?story_fbid=1810606435751852&id=136556343156878
Get Britain Out,,2019-05-05 14:27:00,No Deal is not off the table!! It is the only way the UK can comprehensively leave the EU and realise our global potential! And it’s still the LEGAL option! https://www.express.co.uk/news/politics/1122905/brexit-news-latest-conservative-party-michael-gove-no-deal-local-election-results,1800,711,68,8,15,7,1000,1427,1810607309085098,https://mbasic.facebook.com/story.php?story_fbid=1810607309085098&id=136556343156878
Get Britain Out,,2019-05-05 13:13:00,"Another betrayal is likely to be announced this week, as leaders move us even further from the No Deal Brexit we want.  https://www.express.co.uk/news/politics/1122958/brexit-news-latest-theresa-may-jeremy-corny-eu-deal-customs-union-plan",1000,207,21,,2,5,803,406,1810602442418918,https://mbasic.facebook.com/story.php?story_fbid=1810602442418918&id=136556343156878
Get Britain Out,,2019-05-05 12:36:00,"We do not want a Brexit Deal. When will the PM realise this! The British people voted for Brexit, not a Deal which will lock us within the EU or worse, within the Customs Union!  Theresa May will take a final desperate gamble to deliver Brexit this week by offering Jeremy Corbyn three major concessions in a bid to force MPs to back a New Deal https://www.thetimes.co.uk/edition/news/revealed-may-s-last-ditch-brexit-plan-to-woo-labour-qdqf0qqfk",2100,819,54,5,6,7,1200,963,1810613882417774,https://mbasic.facebook.com/story.php?story_fbid=1810613882417774&id=136556343156878
Get Britain Out,,2019-05-05 12:00:28,Record numbers of Conservative Party Members want May gone! She has failed the British people repeatedly and it is well beyond time she left office and was replaced by someone who will deliver the Brexit we all voted for!!  https://www.conservativehome.com/thetorydiary/2019/05/out-out-out-for-the-third-time-running-our-survey-finds-a-record-proportion-of-party-members-wanting-may-gone-now.html,2500,2300,6,64,5,1,157,311,1810635789082250,https://mbasic.facebook.com/story.php?story_fbid=1810635789082250&id=136556343156878
Get Britain Out,,2019-05-05 11:57:47,It’s disgraceful what the Remain-biased Electoral Commission is doing to Darren Grimes! You can support his case below and see all the details of the case in the Telegraph piece below this one!!! https://www.crowdjustice.com/case/darrengrimes/,425,386,2,14,16,,7,14,1810633619082467,https://mbasic.facebook.com/story.php?story_fbid=1810633619082467&id=136556343156878
Get Britain Out,,2019-05-05 11:55:14,"Court papers reveal Electoral Commission estimates that the cost of resisting appeals by Darren Grimes re his £20,000 fine, and still protesting innocence, will amount to a massive £436,000. It’s disgraceful what the Remain-biased Electoral Commission are doing!! There’s a link above to Darren’s Go Fund Me page to help him fight this ridiculous case! https://www.telegraph.co.uk/politics/2019/05/04/electoral-commissions-436000-bill-fighting-brexit-campaigner/",544,198,4,1,16,4,321,64,1810631789082650,https://mbasic.facebook.com/story.php?story_fbid=1810631789082650&id=136556343156878
Get Britain Out,,2019-05-05 11:50:57,"No Prime Minister! You have shown us that you cannot deliver the Brexit we desire or voted for. The only way the PM can fulfil her promise to the nation and deliver on the national interest is to leave the EU without a Deal, on WTO Terms. https://www.dailymail.co.uk/news/article-6993209/My-message-Jeremy-Corbyn-Lets-deal-Prime-Minister-Theresa-May.html",1300,747,23,5,8,2,515,547,1810627799083049,https://mbasic.facebook.com/story.php?story_fbid=1810627799083049&id=136556343156878
